12	1	2	1	0	2	3	3	3	3	2	1	1	1	1	3	4	4	3	4	27	2	2	0	0	1	1	0	0	0	1	0	4	2	2	0	1	1	0
14	3	2	0	1	4	5	4	3	4	3	3	2	3	1	1	5	5	2	1	31	2	2	0	0	1	0	0	1	1	0	1	-999	3	3	1	1	1	1
14	3	2	0	0	3	5	5	3	5	3	3	1	3	1	4	5	5	5	5	31	2	2	0	0	1	0	0	1	1	0	1	-999	3	3	1	1	1	1
14	3	2	1	1	1	5	2	1	2	3	5	1	1	1	1	1	2	1	1	31	2	2	0	0	1	0	0	1	1	0	1	-999	3	3	1	1	1	1
14	3	2	1	0	5	5	5	3	5	1	1	1	1	1	3	4	3	5	5	31	2	2	0	0	1	0	0	1	1	0	1	-999	3	3	1	1	1	1
18	3	2	0	1	5	5	5	5	5	2	1	3	5	1	5	5	5	5	5	44	2	2	0	0	1	1	0	1	1	1	1	3	2	1	1	0	1	0
18	3	2	0	0	1	1	1	1	1	4	5	3	1	5	1	1	1	1	1	44	2	2	0	0	1	1	0	1	1	1	1	3	2	1	1	0	1	0
18	3	2	1	1	5	5	4	5	5	2	4	3	3	3	5	5	5	5	5	44	2	2	0	0	1	1	0	1	1	1	1	3	2	1	1	0	1	0
18	3	2	1	0	1	1	1	3	2	3	2	3	3	3	3	3	3	3	3	44	2	2	0	0	1	1	0	1	1	1	1	3	2	1	1	0	1	0
19	1	2	0	1	2	3	3	3	3	3	3	3	3	3	1	1	2	2	1	47	3	2	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0
19	1	2	0	0	3	3	3	3	3	2	3	3	3	3	1	1	2	1	2	47	3	2	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0
19	1	2	1	1	1	2	3	3	2	3	2	1	3	2	1	1	1	3	3	47	3	2	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0
19	1	2	1	0	2	2	3	3	2	3	2	1	3	2	1	1	1	3	3	47	3	2	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0
20	1	2	0	1	1	5	1	1	3	2	5	1	3	5	1	3	1	1	3	47	3	2	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	1
20	1	2	0	0	3	3	3	3	3	2	3	3	3	3	3	3	3	3	4	47	3	2	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	1
20	1	2	1	1	1	3	3	3	2	2	5	4	3	3	4	1	1	2	3	47	3	2	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	1
20	1	2	1	0	4	3	3	3	3	2	3	3	3	3	3	3	3	3	3	47	3	2	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	1
23	1	2	0	1	4	5	4	4	4	1	1	2	1	1	4	4	5	3	4	27	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	1	1	1
23	1	2	0	0	3	2	3	3	4	3	2	3	1	1	3	4	5	3	3	27	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	1	1	1
23	1	2	1	1	4	5	3	4	4	2	2	2	2	2	4	3	4	2	3	27	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	1	1	1
23	1	2	1	0	3	3	3	3	4	3	3	1	3	2	4	4	4	2	3	27	2	1	0	0	0	0	0	0	0	0	0	3	3	2	1	1	1	1
24	1	2	0	1	5	4	4	3	3	4	3	3	2	2	4	4	2	4	5	28	2	1	0	0	1	1	0	0	0	1	0	4	1	3	0	0	1	0
24	1	2	0	0	3	2	3	3	3	2	3	4	4	3	2	2	3	3	3	28	2	1	0	0	1	1	0	0	0	1	0	4	1	3	0	0	1	0
24	1	2	1	1	5	4	5	4	4	4	2	3	3	2	4	5	4	4	5	28	2	1	0	0	1	1	0	0	0	1	0	4	1	3	0	0	1	0
24	1	2	1	0	2	2	2	3	3	2	4	4	5	4	2	2	3	3	1	28	2	1	0	0	1	1	0	0	0	1	0	4	1	3	0	0	1	0
25	1	2	0	1	5	5	5	5	5	2	2	3	1	2	5	5	5	4	5	29	2	1	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	0
25	1	2	0	0	3	2	1	1	2	5	4	3	5	4	1	1	1	2	1	29	2	1	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	0
25	1	2	1	1	5	5	5	5	4	1	1	3	1	2	5	5	5	4	4	29	2	1	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	0
25	1	2	1	0	1	1	1	1	2	5	5	3	5	4	1	1	1	2	2	29	2	1	0	0	1	1	0	0	0	1	0	4	3	3	0	0	1	0
26	1	2	0	1	4	4	4	1	4	4	1	1	1	1	4	4	4	4	5	33	2	1	0	0	1	1	0	1	0	1	1	-999	3	2	0	0	1	1
26	1	2	0	0	1	1	1	1	1	1	5	1	4	5	1	1	1	1	1	33	2	1	0	0	1	1	0	1	0	1	1	-999	3	2	0	0	1	1
26	1	2	1	1	5	5	3	4	4	5	1	1	1	1	4	4	4	3	4	33	2	1	0	0	1	1	0	1	0	1	1	-999	3	2	0	0	1	1
26	1	2	1	0	1	1	1	1	1	1	3	3	4	4	1	1	1	3	1	33	2	1	0	0	1	1	0	1	0	1	1	-999	3	2	0	0	1	1
30	1	2	0	1	5	5	3	3	1	1	1	1	1	1	5	4	5	4	4	58	3	1	0	0	1	1	0	0	0	1	0	4	3	2	0	0	1	0
30	1	2	0	0	1	1	2	2	1	4	5	2	1	1	1	2	2	3	2	58	3	1	0	0	1	1	0	0	0	1	0	4	3	2	0	0	1	0
30	1	2	1	1	3	4	3	3	3	3	4	4	2	2	4	2	4	2	2	58	3	1	0	0	1	1	0	0	0	1	0	4	3	2	0	0	1	0
30	1	2	1	0	3	2	3	3	3	3	2	2	2	2	4	4	4	2	4	58	3	1	0	0	1	1	0	0	0	1	0	4	3	2	0	0	1	0
31	1	2	0	1	3	4	3	4	4	1	1	3	2	2	4	4	4	4	5	59	3	1	0	0	1	1	0	0	0	1	0	-999	3	2	1	1	1	0
31	1	2	0	0	2	3	3	3	3	2	4	3	2	3	2	2	3	3	1	59	3	1	0	0	1	1	0	0	0	1	0	-999	3	2	1	1	1	0
31	1	2	1	1	4	4	4	3	3	3	3	3	2	2	4	3	4	3	4	59	3	1	0	0	1	1	0	0	0	1	0	-999	3	2	1	1	1	0
31	1	2	1	0	2	2	3	3	4	3	2	3	2	3	2	3	2	3	2	59	3	1	0	0	1	1	0	0	0	1	0	-999	3	2	1	1	1	0
32	1	2	0	1	3	2	3	3	4	2	1	1	1	1	4	3	5	3	3	57	3	2	0	0	1	1	0	0	0	1	0	4	2	2	0	0	1	1
32	1	2	0	0	3	2	3	3	4	2	1	1	1	1	3	4	5	3	5	57	3	2	0	0	1	1	0	0	0	1	0	4	2	2	0	0	1	1
32	1	2	1	1	1	4	3	4	3	1	1	1	1	1	3	3	4	3	4	57	3	2	0	0	1	1	0	0	0	1	0	4	2	2	0	0	1	1
32	1	2	1	0	3	3	3	3	3	1	1	1	1	1	4	4	4	3	4	57	3	2	0	0	1	1	0	0	0	1	0	4	2	2	0	0	1	1
33	3	2	0	1	3	5	3	3	4	5	2	4	4	3	1	4	4	2	1	24	1	1	0	0	1	0	0	0	1	0	1	3	3	4	1	1	1	1
33	3	2	0	0	5	5	3	3	4	1	2	2	2	3	5	5	5	4	5	24	1	1	0	0	1	0	0	0	1	0	1	3	3	4	1	1	1	1
33	3	2	1	1	1	5	3	3	3	1	5	5	4	5	1	1	1	2	1	24	1	1	0	0	1	0	0	0	1	0	1	3	3	4	1	1	1	1
33	3	2	1	0	5	5	3	3	3	4	2	2	2	2	3	3	5	4	5	24	1	1	0	0	1	0	0	0	1	0	1	3	3	4	1	1	1	1
35	1	2	0	1	4	4	4	4	4	3	4	2	2	2	2	4	4	2	2	51	3	2	1	0	0	0	0	0	0	0	0	4	3	2	0	1	0	0
35	1	2	0	0	4	2	2	2	2	2	2	2	2	2	4	2	2	2	2	51	3	2	1	0	0	0	0	0	0	0	0	4	3	2	0	1	0	0
35	1	2	1	1	2	2	4	2	2	4	4	2	4	4	2	2	2	2	2	51	3	2	1	0	0	0	0	0	0	0	0	4	3	2	0	1	0	0
35	1	2	1	0	4	2	4	4	2	4	2	4	2	2	2	4	2	4	2	51	3	2	1	0	0	0	0	0	0	0	0	4	3	2	0	1	0	0
37	1	2	0	1	4	4	5	4	4	3	2	2	2	1	4	4	4	3	4	50	3	1	0	0	0	0	0	0	0	0	0	2	3	2	1	1	1	0
37	1	2	0	0	2	2	2	2	2	4	4	3	3	1	2	2	2	3	3	50	3	1	0	0	0	0	0	0	0	0	0	2	3	2	1	1	1	0
