35	1	2	51	3	2	1	0	0	0	0	0	0	0	0	4	3	2	0	1	0	0	4	4	4	4	4	3	4	2	2	2	2	4	4	2	2	4	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	4	2	2	4	4	2	4	4	2	2	2	2	2	4	2	4	4	2	4	2	4	2	2	2	4	2	4	2
37	1	2	50	3	1	0	0	0	0	0	0	0	0	0	2	3	2	1	1	1	0	4	4	5	4	4	3	2	2	2	1	4	4	4	3	4	2	2	2	2	2	4	4	3	3	1	2	2	2	3	3	5	5	4	4	3	2	2	2	2	2	5	5	5	3	4	5	4	3	3	3	3	3	2	3	3	4	3	3	3	3
39	2	2	45	3	2	0	0	1	1	0	1	0	1	1	-999	1	2	1	0	1	0	3	5	3	3	4	4	1	4	4	2	4	2	2	3	4	3	5	3	3	4	4	1	4	4	2	4	2	2	3	4	4	5	3	4	4	5	1	5	4	2	4	3	4	3	4	4	5	3	3	4	5	2	3	2	2	4	3	4	3	4
40	1	2	20	1	1	0	0	1	1	0	0	0	1	0	1	2	1	0	0	1	1	4	4	3	3	4	1	2	2	1	1	4	5	5	5	5	2	3	3	3	3	4	4	2	3	1	3	3	2	3	2	4	4	4	4	4	1	2	2	2	2	4	5	5	5	5	2	3	2	3	3	2	2	2	2	2	3	2	2	3	2
42	2	2	25	2	1	0	0	1	0	0	1	0	0	1	2	2	2	1	1	1	0	4	5	3	2	3	4	5	5	4	4	3	2	3	2	2	5	3	4	5	3	5	1	2	2	2	4	5	4	4	4	2	5	3	3	2	4	4	4	4	5	3	2	3	2	3	4	2	3	4	4	2	2	2	2	2	4	5	5	5	5
44	1	2	54	3	2	0	1	0	0	0	0	0	0	0	4	3	4	1	0	1	0	5	4	4	4	4	2	1	2	2	2	4	5	5	5	5	2	2	1	2	1	2	4	3	1	1	2	1	1	1	2	5	5	5	5	4	5	2	2	2	2	5	5	4	5	5	2	2	1	2	1	2	4	5	1	1	1	2	2	1	2
46	3	2	21	1	2	0	0	1	0	0	1	1	0	1	2	3	2	1	0	0	0	4	4	3	3	4	2	3	2	1	3	5	3	3	4	4	2	4	3	3	3	4	4	3	4	3	2	3	3	2	3	3	5	2	2	3	5	3	4	4	4	2	1	2	3	4	3	4	3	3	4	2	2	2	3	3	4	3	3	3	3
48	3	2	32	2	2	0	0	1	0	0	0	1	0	1	-999	2	2	1	0	1	0	4	4	4	4	4	3	3	4	3	3	4	4	4	3	3	4	4	3	4	3	4	3	3	4	3	3	4	3	3	3	4	4	4	4	3	3	3	3	3	3	3	4	4	4	3	3	4	3	3	2	3	3	4	3	3	3	3	3	4	2
52	2	2	26	2	1	0	0	1	0	0	1	0	0	1	3	2	2	1	0	1	1	2	5	3	2	3	4	2	4	2	4	2	3	4	2	2	2	4	3	2	4	3	2	2	2	2	4	4	4	4	4	2	5	2	2	2	4	2	4	4	2	2	2	4	2	2	3	4	2	2	4	3	2	2	2	2	4	4	4	2	4
54	2	2	29	2	1	0	0	1	0	0	1	0	0	1	3	3	1	1	0	1	0	5	5	4	4	4	1	2	4	1	1	4	3	4	3	3	2	5	3	2	2	4	4	2	4	4	3	3	3	3	3	4	5	3	4	4	3	2	3	3	2	4	3	3	3	3	2	2	2	2	3	2	3	2	3	2	2	2	2	3	3
56	1	2	31	2	1	0	0	0	0	0	0	0	0	0	3	3	3	1	0	1	0	4	4	4	4	3	1	2	2	2	3	4	4	4	4	4	3	3	3	2	2	4	4	4	4	4	4	4	4	3	2	4	4	4	4	4	2	2	3	2	2	4	3	4	4	3	3	3	3	3	3	4	3	4	4	4	3	4	4	3	3
57	2	2	31	2	1	0	0	1	0	0	1	0	0	1	4	2	3	1	0	0	0	4	4	4	4	4	2	2	2	2	2	3	3	4	3	3	4	3	4	4	4	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	2	2	2	2	2	4	2	2	4	4	4	4	4	4	4	2	2	2	2	2	4	4	4	4	4
59	3	2	33	2	1	0	0	1	0	0	0	1	0	1	-999	3	3	1	0	0	1	1	4	2	2	4	4	4	3	3	2	2	2	2	3	2	4	2	4	4	2	2	2	3	3	2	4	4	4	3	4	2	4	2	2	2	4	4	4	4	4	2	2	2	3	2	4	2	3	4	4	2	2	2	2	2	4	4	4	3	4
60	3	2	34	2	1	0	0	1	0	0	0	1	0	1	-999	3	2	1	0	1	0	3	4	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	4	4	4	4	3	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	3	3	3	3
61	3	2	45	3	1	0	0	1	0	0	0	1	0	1	-999	2	1	1	0	0	0	3	5	5	5	5	2	1	1	1	1	4	4	4	4	4	3	4	2	1	1	2	1	1	1	1	1	2	4	5	4	5	4	1	3	3	1	1	3	3	3	4	3	3	4	4	4	2	3	4	5	1	2	2	4	5	3	3	3	3	4
65	1	2	29	2	2	0	1	0	0	0	0	0	0	0	1	3	4	0	0	1	0	5	5	5	5	4	1	2	3	2	2	5	5	5	3	5	1	1	1	1	2	3	3	4	3	4	1	1	1	3	1	5	5	5	5	5	1	1	1	1	1	5	5	5	3	5	1	1	1	3	1	5	5	5	5	5	2	1	1	3	1
67	1	2	45	3	2	0	1	0	0	0	0	0	0	0	-999	3	3	1	0	1	1	4	5	3	5	5	2	2	3	3	3	5	4	5	3	5	1	2	3	1	3	5	5	3	3	3	3	4	3	3	3	5	5	5	5	4	1	1	3	3	3	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
68	3	2	52	3	2	0	1	1	1	1	1	1	1	1	-999	3	2	1	0	0	0	4	4	3	2	2	2	2	3	2	2	2	4	4	2	4	4	4	3	2	2	2	2	3	2	2	4	4	4	2	4	3	4	2	2	4	2	2	3	3	2	4	3	4	3	3	3	4	2	2	4	2	2	3	3	2	4	3	4	3	3
69	3	2	41	2	1	0	1	1	0	0	0	1	0	1	-999	1	2	1	0	1	0	5	5	4	5	4	1	1	1	1	1	4	5	5	3	5	5	5	3	3	4	1	1	1	1	1	4	5	5	3	5	5	5	4	4	4	1	1	1	1	1	4	4	5	4	5	5	5	4	4	5	1	1	1	1	1	4	5	5	5	5
70	1	2	18	1	2	0	0	0	0	0	0	0	0	0	-999	3	1	1	0	0	0	4	2	4	3	4	2	3	2	2	2	4	4	5	4	4	3	2	3	3	4	4	3	2	2	4	2	3	4	3	2	3	4	4	4	4	2	3	2	2	2	4	4	4	3	4	3	4	2	3	2	2	3	2	2	2	2	4	2	3	4
72	3	2	21	1	2	0	0	1	1	0	0	1	1	1	-999	3	1	1	0	0	1	4	4	4	3	3	2	2	3	3	2	4	2	3	3	2	2	3	3	3	3	3	3	4	5	4	3	4	4	3	4	2	5	3	3	2	5	3	5	4	4	3	2	2	3	2	5	3	3	3	4	2	3	2	3	3	4	4	4	4	4
73	2	2	24	1	2	0	0	1	0	0	1	1	0	1	3	2	2	1	1	0	0	5	4	3	3	4	3	2	4	1	1	4	1	1	3	3	4	3	4	3	3	3	4	3	1	2	4	5	4	5	5	5	3	4	5	4	1	1	1	2	2	1	1	1	1	1	2	3	4	4	4	1	2	2	1	1	5	5	5	5	5
